Country,Year,Average Temperature (°C),Rainfall (mm),Extreme Weather Events,Droughts,Floods
Germany,2021,5.2,979.0,4,4,1
Australia,2013,17.4,30.3,6,3,1
China,2023,13.4,1123.6,0,4,0
Germany,2016,14.7,1145.5,4,3,4
Australia,2023,-8.2,1224.7,4,4,2
Australia,2022,32.2,1121.9,7,4,1
South Africa,2016,12.2,1261.1,7,1,3
China,2011,32.4,1820.0,5,2,3
USA,2021,10.1,421.1,2,3,1
Germany,2021,19.9,1968.1,7,1,3
China,2018,3.7,1516.7,3,0,1
USA,2017,-8.7,1755.7,1,1,1
Brazil,2021,24.6,1088.1,3,3,2
South Africa,2021,-1.0,1131.1,5,0,1
China,2018,34.0,729.2,8,2,1
Brazil,2014,26.9,1363.6,1,1,3
China,2012,-0.7,1217.3,7,2,4
Germany,2016,22.6,1888.2,6,1,4
Germany,2020,11.3,536.4,9,3,2
Germany,2012,36.4,451.7,3,2,2
India,2018,-9.8,10.3,9,0,0
Brazil,2019,-4.0,1974.0,0,1,2
Australia,2015,9.8,1121.9,2,0,3
USA,2022,38.8,1240.2,6,1,3
China,2020,37.9,1959.5,6,0,2
India,2022,38.0,217.6,6,0,0
Australia,2023,21.0,1557.9,8,0,0
Australia,2018,6.3,884.9,5,2,3
China,2021,9.2,1044.3,6,4,3
Australia,2021,25.7,1648.0,4,3,2
Germany,2021,10.2,1578.2,1,1,3
China,2011,-5.7,1168.4,5,2,2
Brazil,2015,14.0,390.4,3,3,3
South Africa,2014,34.5,1683.7,3,1,1
USA,2011,30.6,791.6,6,0,4
South Africa,2017,26.0,1658.3,5,2,4
Brazil,2017,14.8,1715.2,2,1,3
Brazil,2023,1.7,1850.4,1,1,1
South Africa,2020,-1.1,1726.4,0,0,2
Australia,2018,-3.4,1912.4,4,3,4
South Africa,2012,0.7,1879.5,7,3,1
Brazil,2021,13.9,727.2,6,0,3
Australia,2018,2.1,1699.2,2,0,3
Germany,2018,-1.2,875.4,7,0,0
China,2019,5.3,1000.4,4,0,0
Germany,2016,32.0,470.4,7,2,2
China,2014,3.7,865.3,4,3,4
Germany,2023,11.0,184.6,4,2,1
Germany,2013,8.7,1779.4,9,1,0
India,2023,10.7,1115.7,9,4,4
Australia,2011,1.8,1778.8,7,1,2
China,2015,13.0,1659.0,8,2,1
Germany,2010,31.8,1279.6,7,1,2
Germany,2012,18.5,804.4,5,3,3
China,2014,31.1,865.9,2,1,2
USA,2022,4.0,1200.7,0,1,1
Brazil,2011,28.5,1180.4,5,4,0
India,2011,1.4,177.4,2,0,1
China,2016,34.6,302.8,7,0,2
Brazil,2023,-7.4,1188.3,6,2,1
USA,2018,28.2,1250.3,3,0,1
India,2010,22.7,1541.9,6,0,2
China,2022,38.3,392.2,9,4,1
India,2022,3.1,295.2,1,3,0
South Africa,2015,28.5,694.9,1,4,1
South Africa,2010,39.9,1274.8,9,3,4
South Africa,2015,39.2,176.4,4,4,0
South Africa,2023,0.4,1383.6,3,1,4
South Africa,2017,20.5,1864.9,8,2,2
India,2018,16.6,8.4,3,3,4
Brazil,2018,8.3,1390.6,1,2,1
South Africa,2015,15.6,1371.0,7,2,1
India,2016,-0.9,1777.0,1,0,3
Australia,2012,20.4,859.1,2,3,4
China,2021,3.0,1266.4,9,3,3
Australia,2012,24.7,37.4,1,3,0
South Africa,2011,13.8,1836.9,9,0,1
India,2022,35.1,1560.4,0,4,0
USA,2020,15.0,1491.6,7,2,3
South Africa,2018,39.2,424.8,9,0,0
Australia,2021,2.1,749.2,9,1,4
China,2014,4.9,1065.2,6,1,1
USA,2022,28.0,663.3,7,0,4
Germany,2017,-0.1,1502.4,4,4,2
India,2014,0.8,1714.6,0,3,3
China,2010,-6.3,628.0,0,3,4
Australia,2021,16.6,1937.2,3,2,3
South Africa,2015,-2.4,1016.9,8,1,4
China,2015,-5.3,1842.0,1,0,1
Brazil,2023,34.0,871.9,7,4,3
South Africa,2022,18.9,1918.3,8,3,3
India,2015,13.6,429.1,2,2,4
India,2014,11.0,1292.2,3,0,2
South Africa,2019,14.6,1431.8,6,4,4
Germany,2011,-10.0,1199.2,8,0,4
South Africa,2022,34.5,1077.1,2,0,4
Australia,2021,-9.9,573.2,0,3,4
USA,2010,15.9,1063.2,4,2,3
Germany,2010,0.5,1374.5,1,0,0
South Africa,2022,-8.8,1398.4,0,4,1
India,2011,7.9,314.9,2,0,0
Brazil,2018,19.6,529.7,0,2,4
Brazil,2016,-2.3,1721.7,6,3,2
Brazil,2021,7.4,1436.2,5,3,3
Brazil,2020,9.3,1203.8,4,0,4
Germany,2023,4.2,711.0,6,4,2
USA,2020,10.3,955.2,3,0,1
South Africa,2016,-5.2,1851.5,1,2,2
Brazil,2015,29.7,1901.0,5,3,2
Germany,2010,-0.4,321.2,4,4,0
Brazil,2015,18.5,1426.3,9,4,1
South Africa,2019,18.5,983.2,8,4,4
Germany,2016,13.0,791.5,7,3,0
Germany,2020,-5.4,885.3,3,4,3
Australia,2018,39.9,1762.7,6,0,0
USA,2021,18.5,566.0,1,0,3
Brazil,2011,36.6,1219.6,9,3,1
India,2016,7.8,75.7,7,0,0
USA,2017,-2.6,762.9,7,1,3
China,2020,-5.3,537.6,1,0,0
South Africa,2011,15.9,1724.0,3,2,0
South Africa,2012,10.4,1347.8,1,1,2
Germany,2013,10.4,1447.6,5,3,2
South Africa,2023,-1.3,1368.7,4,3,2
Australia,2021,16.4,342.7,4,3,0
Germany,2021,5.2,896.1,0,3,1
Australia,2010,9.0,1159.8,9,0,3
China,2014,34.6,753.3,3,0,2
USA,2018,27.3,1554.3,2,2,0
India,2010,-9.4,1906.9,7,0,4
USA,2014,2.8,337.1,1,3,2
Australia,2012,23.4,468.1,3,2,1
USA,2018,32.4,396.1,1,2,0
China,2011,5.5,1552.8,9,2,4
USA,2011,18.4,1818.9,4,0,1
Brazil,2010,15.0,1176.8,9,1,2
China,2018,9.7,1847.4,3,1,3
China,2017,37.5,1740.7,1,1,4
Germany,2014,11.0,1862.8,0,0,2
Brazil,2011,-6.2,202.0,9,1,2
India,2023,26.7,1886.8,8,0,3
Brazil,2023,15.6,380.6,0,3,1
India,2018,7.8,972.6,9,4,2
Australia,2019,-1.6,1758.7,1,2,0
USA,2020,20.9,1009.3,3,0,2
South Africa,2018,7.4,866.3,7,3,2
USA,2019,-1.9,100.1,2,2,4
South Africa,2012,-2.5,1506.2,6,2,2
USA,2012,29.9,1559.9,7,0,2
Brazil,2023,36.1,489.9,1,4,0
USA,2017,8.4,1351.0,4,4,1
USA,2011,24.8,491.7,5,2,2
India,2013,-3.8,311.3,9,1,4
India,2021,11.8,1635.1,6,1,0
China,2023,11.0,389.0,0,2,0
China,2018,20.2,500.7,2,1,0
South Africa,2023,36.5,262.9,1,4,2
Germany,2019,12.9,1322.9,1,4,1
Australia,2019,7.3,219.7,3,3,4
China,2013,26.5,1389.7,8,4,2
China,2010,32.9,1601.8,1,0,0
Brazil,2016,3.1,1698.8,2,4,0
USA,2012,18.5,1434.0,0,0,1
USA,2018,-9.7,793.7,1,3,0
USA,2010,18.9,1044.4,8,3,3
Germany,2020,8.8,1400.5,2,3,3
South Africa,2021,21.6,951.5,3,1,2
China,2014,17.5,1246.0,4,4,2
Australia,2015,36.1,1944.7,1,2,1
China,2022,0.5,1109.3,9,1,0
China,2011,16.1,874.4,3,3,0
South Africa,2013,27.9,1781.4,0,1,1
Germany,2015,32.8,831.4,5,4,4
Australia,2010,25.7,727.3,6,1,4
Australia,2014,28.0,705.6,4,1,4
Brazil,2014,11.5,441.5,0,2,0
China,2015,0.4,326.8,8,3,0
Germany,2012,6.7,1404.9,7,0,1
China,2023,35.4,711.8,3,1,3
USA,2010,1.7,516.9,7,3,1
Brazil,2013,29.8,1730.7,5,4,0
China,2022,7.4,1178.6,8,1,3
USA,2023,17.8,1359.7,1,1,3
Germany,2023,27.0,937.5,3,0,1
Brazil,2023,6.9,1359.1,5,2,2
China,2023,17.2,1486.6,1,2,0
India,2022,10.0,1174.0,7,3,0
Brazil,2022,11.1,734.1,7,0,2
South Africa,2020,13.9,649.5,4,0,1
Brazil,2013,21.6,621.7,4,0,0
USA,2019,-7.8,303.9,6,2,4
Germany,2018,29.4,329.2,3,2,3
USA,2020,11.6,379.3,1,2,1
USA,2012,18.4,333.2,4,4,2
South Africa,2018,29.4,49.3,9,3,2
Germany,2020,5.6,1934.0,0,2,2
Germany,2017,5.3,1351.5,7,0,3
Australia,2017,38.7,33.1,0,1,4
South Africa,2018,-1.9,1618.1,0,3,2
South Africa,2019,-0.2,1901.9,3,0,0
South Africa,2019,20.1,1594.4,1,2,0
USA,2010,11.0,535.8,7,3,1
Australia,2010,36.7,526.1,6,0,1
India,2010,18.1,547.7,9,3,4
Brazil,2023,13.8,1228.6,0,4,3
South Africa,2021,25.4,638.8,2,0,1
Brazil,2019,5.2,1089.4,7,0,3
South Africa,2023,38.4,225.7,3,0,3
China,2022,21.0,149.7,0,4,4
China,2013,15.7,796.1,8,2,0
Australia,2023,-4.1,1728.4,5,4,4
Germany,2021,2.5,1253.7,8,1,1
USA,2010,-6.8,1849.6,1,2,0
Brazil,2018,-3.3,1053.0,6,3,0
USA,2011,32.8,486.9,9,3,2
Australia,2023,35.0,1898.8,9,3,3
Germany,2022,-4.1,733.4,4,0,4
South Africa,2014,7.5,310.3,7,4,4
Australia,2017,32.3,858.3,9,1,3
USA,2023,3.5,234.9,4,4,2
India,2015,0.3,240.0,1,2,3
Brazil,2014,0.9,768.9,1,4,3
South Africa,2023,29.6,540.0,9,3,1
India,2018,8.0,310.8,1,2,3
Brazil,2018,11.2,1032.4,0,4,0
South Africa,2020,19.2,1996.8,4,2,3
India,2010,15.6,261.7,8,3,3
Germany,2019,-9.1,723.2,9,1,3
Australia,2022,4.2,142.9,5,3,2
South Africa,2023,14.1,755.4,3,2,3
South Africa,2023,-9.8,1600.3,1,0,2
USA,2022,30.6,263.1,9,2,1
China,2016,2.3,1420.3,0,2,2
India,2014,-8.0,1572.2,8,1,0
China,2011,23.1,986.2,6,4,1
Germany,2010,13.2,1185.3,0,3,1
Australia,2011,14.3,1974.6,1,2,3
Australia,2019,10.5,1398.3,8,3,3
Germany,2020,30.9,1999.7,1,3,1
Germany,2018,-0.4,1003.1,2,2,3
India,2020,29.7,1405.2,5,4,1
Australia,2012,12.0,397.4,7,1,1
Australia,2013,14.1,1276.8,1,4,1
South Africa,2021,33.4,848.9,0,1,2
Germany,2020,18.0,463.3,7,1,4
China,2014,11.4,518.1,8,0,1
USA,2019,34.9,1330.5,3,3,0
