ID,Title,Year,Authors,Region,Participants_Female,Participants_Male,Funding_Source,Research_Area,Trial_Outcome,Gender_Imbalance_Score
1,Study on Genetics (2003),2004,Author19; Author65,Oceania,339,55,Private,Oncology,Success,284
2,Study on Oncology (2023),2005,Author47; Author87,Asia,153,137,NGO,Cardiology,Neutral,16
3,Study on Neurology (2007),2005,Author21; Author87,Oceania,118,90,Government,Genetics,Failure,28
4,Study on Cardiology (2004),2022,Author39; Author100,North America,86,265,Government,Public Health,Neutral,179
5,Study on Genetics (2003),2019,Author44; Author71,Europe,105,56,NGO,Public Health,Failure,49
6,Study on Genetics (2023),2005,Author16; Author70,Asia,90,361,Government,Cardiology,Failure,271
7,Study on Pharmacology (2002),2023,Author10; Author93,Europe,195,326,NGO,Cardiology,Neutral,131
8,Study on Pharmacology (2013),2014,Author34; Author65,Oceania,318,183,Private,Genetics,Neutral,135
9,Study on Oncology (2000),2001,Author27; Author70,Asia,377,486,NGO,Oncology,Failure,109
10,Study on Oncology (2006),2013,Author18; Author54,South America,428,398,Private,Oncology,Success,30
11,Study on Cardiology (2016),2011,Author36; Author88,Asia,70,330,NGO,Genetics,Failure,260
12,Study on Pharmacology (2000),2021,Author48; Author62,Asia,348,40,Private,Neurology,Failure,308
13,Study on Pharmacology (2006),2023,Author41; Author94,Asia,127,40,Private,Neurology,Failure,87
14,Study on Genetics (2020),2007,Author28; Author86,Africa,222,192,NGO,Cardiology,Neutral,30
15,Study on Genetics (2017),2014,Author32; Author54,Asia,425,340,NGO,Public Health,Neutral,85
16,Study on Public Health (2007),2019,Author23; Author92,South America,179,88,NGO,Neurology,Failure,91
17,Study on Public Health (2018),2009,Author43; Author75,North America,378,369,NGO,Neurology,Neutral,9
18,Study on Neurology (2000),2023,Author34; Author71,South America,68,284,Private,Pharmacology,Neutral,216
19,Study on Cardiology (2022),2014,Author45; Author77,North America,256,415,Government,Public Health,Success,159
20,Study on Public Health (2010),2007,Author27; Author60,Oceania,355,64,NGO,Oncology,Success,291
21,Study on Neurology (2004),2017,Author20; Author75,Africa,255,74,NGO,Oncology,Neutral,181
22,Study on Cardiology (2010),2007,Author12; Author99,Africa,255,259,NGO,Genetics,Neutral,4
23,Study on Oncology (2002),2009,Author35; Author81,Africa,117,129,NGO,Oncology,Neutral,12
24,Study on Public Health (2003),2015,Author16; Author65,North America,312,172,Government,Pharmacology,Success,140
25,Study on Neurology (2011),2006,Author20; Author96,South America,92,295,Government,Cardiology,Neutral,203
26,Study on Pharmacology (2008),2011,Author10; Author80,Europe,341,413,NGO,Cardiology,Failure,72
27,Study on Oncology (2023),2021,Author4; Author86,Africa,436,340,Government,Oncology,Success,96
28,Study on Public Health (2017),2018,Author27; Author77,North America,220,397,Government,Public Health,Neutral,177
29,Study on Oncology (2012),2014,Author36; Author84,Oceania,21,187,NGO,Pharmacology,Neutral,166
30,Study on Oncology (2017),2014,Author9; Author75,South America,134,422,NGO,Oncology,Failure,288
31,Study on Neurology (2020),2009,Author16; Author67,Africa,32,466,NGO,Oncology,Failure,434
32,Study on Pharmacology (2011),2012,Author14; Author72,Asia,75,234,Government,Cardiology,Neutral,159
33,Study on Pharmacology (2006),2016,Author42; Author56,South America,303,385,Private,Genetics,Neutral,82
34,Study on Genetics (2002),2016,Author29; Author74,North America,313,108,NGO,Public Health,Neutral,205
35,Study on Oncology (2021),2013,Author6; Author85,Europe,92,20,NGO,Pharmacology,Failure,72
36,Study on Cardiology (2009),2005,Author47; Author63,Europe,78,362,Government,Pharmacology,Neutral,284
