Country,Year,Anxiety Prevalence (%),Depression Prevalence (%),Stress Prevalence (%),Sample Size,Survey Method
Canada,2023,38.9,36.7,26.8,3285,Online
Australia,2021,42.1,17.9,18.0,2810,Online
Australia,2020,14.4,21.5,43.8,2317,Telephone
USA,2023,42.8,33.6,28.9,3180,Telephone
USA,2021,21.2,16.3,35.2,4291,Telephone
UK,2023,17.2,9.2,31.3,1671,In-Person
India,2023,46.2,12.5,13.9,3801,Telephone
Canada,2021,28.9,17.3,44.6,3946,Telephone
USA,2023,13.4,33.7,17.0,2614,Online
UK,2021,18.8,23.1,39.2,2670,Online
India,2020,39.9,28.8,25.3,2534,Telephone
USA,2020,25.5,24.4,45.8,1391,Online
USA,2021,10.9,15.8,11.2,3943,Telephone
India,2022,45.6,8.1,48.3,4263,In-Person
USA,2020,29.7,17.3,54.2,1340,Online
UK,2022,23.6,34.3,38.2,3980,In-Person
UK,2023,42.5,23.7,42.3,612,Online
Canada,2023,20.4,19.1,49.9,3016,In-Person
Australia,2020,12.8,14.4,40.1,3372,Online
India,2022,48.9,19.7,10.5,3630,Online
India,2020,39.1,12.4,24.1,2436,Online
Canada,2021,39.3,22.0,39.1,2898,Telephone
Australia,2020,40.8,17.5,31.1,2666,Telephone
UK,2020,12.9,25.5,12.0,681,In-Person
Australia,2022,32.9,13.0,31.2,1366,In-Person
India,2021,13.8,34.5,23.0,3101,Online
Australia,2022,21.3,24.1,43.6,2851,Telephone
UK,2021,26.3,8.7,49.0,3082,Telephone
UK,2020,22.8,34.5,27.0,723,Online
India,2022,18.2,10.6,29.7,1004,Online
Australia,2022,40.9,36.1,10.3,2282,In-Person
USA,2020,30.3,22.6,13.5,1337,Telephone
Australia,2021,26.7,33.9,55.8,1684,Online
Canada,2023,30.8,14.3,21.3,3823,Telephone
USA,2021,49.6,10.1,24.1,933,Online
USA,2023,47.3,14.4,35.9,800,In-Person
USA,2022,31.5,12.2,47.8,4030,Telephone
UK,2023,17.4,26.3,52.3,835,Online
Canada,2022,28.5,22.2,24.1,4260,Online
USA,2020,24.6,19.6,12.0,4553,Online
Australia,2020,11.5,33.3,21.3,4003,In-Person
USA,2023,22.6,20.6,50.4,2330,Telephone
Canada,2022,43.3,30.6,36.3,591,Online
UK,2022,48.8,37.1,36.3,2501,In-Person
Australia,2023,23.4,31.5,57.2,4668,Telephone
Canada,2020,18.5,39.8,51.6,1838,Telephone
Australia,2022,22.6,11.9,52.7,1516,In-Person
India,2023,13.6,26.7,29.1,1078,In-Person
USA,2022,49.3,39.7,21.8,2865,Telephone
India,2022,48.2,19.9,23.7,3306,Online
Canada,2021,26.4,12.2,27.7,731,Telephone
Australia,2023,17.0,36.6,20.3,4605,In-Person
India,2022,47.9,21.6,31.9,4296,In-Person
UK,2023,29.7,11.7,58.8,638,Online
Canada,2021,23.5,18.3,20.5,3051,Online
Australia,2020,28.8,31.1,11.0,2656,Online
Canada,2021,32.7,9.9,18.1,4252,Telephone
Canada,2022,28.4,5.5,34.0,4495,In-Person
Canada,2022,23.1,31.8,53.7,3476,In-Person
UK,2021,49.9,9.2,12.6,4108,In-Person
India,2023,26.2,35.0,57.3,4390,In-Person
Canada,2021,28.3,37.9,12.7,4960,Telephone
UK,2022,24.8,11.8,14.4,681,In-Person
USA,2023,35.4,20.2,47.9,973,Telephone
UK,2021,25.3,5.7,46.6,1293,Telephone
Canada,2020,21.8,27.2,44.2,1943,Online
India,2022,41.3,32.8,44.2,4804,Online
USA,2021,10.5,23.5,21.7,510,Telephone
Canada,2022,29.7,36.1,29.2,629,In-Person
USA,2023,23.8,25.0,38.9,2138,Telephone
UK,2020,46.2,35.8,35.6,3567,In-Person
India,2021,40.2,10.2,45.7,835,Online
Canada,2020,23.7,25.6,40.0,596,Online
India,2020,21.2,24.0,13.0,1298,Online
USA,2021,36.6,24.1,37.8,1179,In-Person
Canada,2020,19.6,17.3,33.3,4764,Online
UK,2021,28.8,29.9,33.7,3844,In-Person
India,2022,44.1,5.6,18.2,3499,Telephone
Australia,2021,49.1,30.2,43.9,4680,Telephone
Canada,2022,33.2,19.6,57.3,4900,Online
USA,2023,38.2,29.4,57.6,2971,Telephone
USA,2020,12.9,28.8,13.0,2401,Telephone
India,2020,27.1,33.7,58.5,4918,Online
UK,2022,25.2,25.7,18.4,3751,Telephone
USA,2020,46.4,9.5,10.9,3096,Online
Canada,2023,34.2,38.5,11.8,4400,Telephone
India,2020,47.1,39.5,10.3,3826,Telephone
Australia,2022,41.3,9.1,19.0,4761,Online
Canada,2023,45.2,35.2,28.9,787,In-Person
Canada,2021,32.1,10.1,36.2,4927,In-Person
Australia,2022,47.3,27.7,38.3,977,Telephone
UK,2023,23.9,11.7,24.7,999,In-Person
USA,2023,11.6,24.4,23.8,1025,In-Person
UK,2021,39.0,21.5,43.9,2879,Telephone
UK,2022,43.3,25.6,46.1,2082,Telephone
Canada,2022,13.3,5.4,38.2,4966,Online
Australia,2020,39.2,17.6,14.4,4911,Telephone
Australia,2021,34.5,5.5,19.3,3790,In-Person
Australia,2020,26.0,20.5,45.1,1160,In-Person
Australia,2022,40.6,6.3,46.2,4453,Telephone
India,2022,18.0,24.2,43.2,4843,Online
Australia,2022,46.9,12.7,24.3,4354,Telephone
USA,2022,46.9,12.1,30.9,4479,Telephone
USA,2021,30.3,23.5,41.0,3199,In-Person
UK,2020,49.9,26.6,23.0,3823,Online
USA,2023,43.3,22.1,35.1,1174,In-Person
Canada,2023,16.4,25.2,49.2,830,Telephone
Canada,2020,11.6,35.2,45.9,1657,Online
USA,2020,22.6,27.7,16.9,2663,Telephone
Australia,2020,16.5,28.4,41.1,2282,Telephone
Canada,2022,22.3,24.0,27.2,3757,In-Person
Australia,2021,17.3,12.6,45.3,4768,In-Person
UK,2021,10.3,10.5,33.1,3572,Telephone
Canada,2020,40.0,13.4,59.4,1003,Online
India,2021,25.9,31.2,59.0,3112,Online
Canada,2021,15.8,20.6,14.3,3500,In-Person
Canada,2021,15.2,33.9,41.5,2210,Online
UK,2021,23.8,19.5,22.7,4983,In-Person
UK,2020,39.2,17.7,37.9,3620,Online
USA,2022,47.8,35.0,59.7,4700,Telephone
India,2023,35.8,21.0,50.2,3146,In-Person
USA,2021,11.9,10.4,18.1,3015,In-Person
Australia,2020,32.5,5.7,34.2,1362,Telephone
UK,2023,40.3,13.8,38.5,4654,Telephone
India,2022,40.5,33.5,29.1,4718,Online
Canada,2022,22.7,13.7,29.0,1415,Online
UK,2022,46.3,17.7,11.7,4898,In-Person
Australia,2021,29.6,10.8,46.7,764,In-Person
India,2023,47.0,14.8,12.7,2393,Online
India,2022,37.8,5.2,29.8,1245,In-Person
Canada,2023,11.5,38.3,35.3,2398,Online
Canada,2020,29.7,26.7,51.1,2931,In-Person
Canada,2021,49.3,33.5,15.8,2473,In-Person
Australia,2023,42.6,9.0,57.8,2900,In-Person
Canada,2021,37.5,31.4,34.4,4135,Online
Australia,2023,30.8,28.8,49.8,3514,Online
UK,2023,30.7,25.6,45.6,1244,Telephone
USA,2022,11.0,15.2,54.7,2842,Telephone
Canada,2022,21.7,34.0,27.5,2916,Online
Canada,2021,29.7,17.7,40.6,900,Telephone
Canada,2022,41.0,35.8,23.1,1533,Telephone
Canada,2020,31.9,13.8,28.8,2076,Online
USA,2023,28.8,19.2,13.0,3458,Telephone
UK,2022,46.8,14.2,39.0,2341,In-Person
USA,2022,41.7,30.9,50.2,3732,Online
USA,2020,46.8,21.8,13.0,4367,Telephone
UK,2021,26.2,37.9,31.8,3574,In-Person
Australia,2021,40.5,19.6,43.9,2849,In-Person
USA,2020,15.8,21.6,22.0,1364,Online
Australia,2023,37.7,20.2,34.8,689,Telephone
Canada,2022,44.3,31.9,20.6,1929,In-Person
India,2020,30.9,11.5,38.0,3860,In-Person
Australia,2023,38.8,38.3,54.4,2135,In-Person
USA,2022,10.5,30.7,10.1,1810,Telephone
Australia,2023,12.4,6.9,33.9,3889,Online
Canada,2023,20.3,32.2,19.0,4187,Telephone
UK,2021,39.2,6.3,23.0,3099,Telephone
Australia,2022,18.6,26.8,56.2,4727,Telephone
UK,2023,11.8,31.5,14.4,4457,In-Person
Australia,2022,26.3,38.4,39.7,676,Online
India,2023,27.9,17.1,23.1,755,Online
Australia,2020,45.9,11.5,28.6,3061,Telephone
UK,2022,22.6,18.3,16.0,3186,Telephone
USA,2021,22.8,13.0,13.0,2088,Telephone
