Customer ID,Age,Gender,Item Purchased,Purchase Amount ($),Frequency of Purchases,Time of Year
CUST-1,45,Male,Electronics,100.95,8,Promotion
CUST-2,65,Female,Electronics,146.04,6,Promotion
CUST-3,21,Other,Home Appliances,361.38,8,Promotion
CUST-4,44,Male,Books,742.43,4,Regular
CUST-5,62,Other,Books,799.39,1,Holiday Season
CUST-6,48,Other,Clothing,404.02,4,Regular
CUST-7,20,Other,Toys,168.6,1,Regular
CUST-8,54,Male,Toys,22.81,10,Holiday Season
CUST-9,26,Female,Electronics,431.63,7,Holiday Season
CUST-10,22,Other,Toys,570.55,11,Holiday Season
CUST-11,51,Male,Books,78.66,11,Promotion
CUST-12,33,Male,Books,753.31,5,Promotion
CUST-13,44,Male,Toys,730.7,3,Holiday Season
CUST-14,31,Female,Electronics,648.82,5,Holiday Season
CUST-15,61,Female,Electronics,643.49,2,Holiday Season
CUST-16,35,Other,Books,873.5,8,Holiday Season
CUST-17,46,Other,Clothing,62.14,5,Promotion
CUST-18,44,Male,Home Appliances,873.28,10,Promotion
CUST-19,28,Female,Clothing,620.28,7,Holiday Season
CUST-20,62,Other,Home Appliances,114.48,5,Regular
CUST-21,45,Male,Toys,989.68,9,Holiday Season
CUST-22,22,Female,Home Appliances,687.12,11,Holiday Season
CUST-23,43,Other,Electronics,286.95,7,Holiday Season
CUST-24,29,Other,Home Appliances,464.02,1,Regular
CUST-25,30,Other,Clothing,990.96,5,Promotion
CUST-26,24,Female,Electronics,732.79,7,Promotion
CUST-27,58,Other,Home Appliances,765.66,10,Promotion
CUST-28,34,Other,Toys,779.42,4,Promotion
CUST-29,39,Other,Books,968.22,9,Holiday Season
CUST-30,40,Male,Electronics,644.12,8,Regular
CUST-31,58,Female,Electronics,394.7,10,Holiday Season
CUST-32,46,Female,Electronics,829.97,2,Regular
CUST-33,64,Other,Home Appliances,934.02,7,Regular
CUST-34,25,Female,Electronics,604.25,9,Holiday Season
CUST-35,53,Female,Electronics,700.3,7,Holiday Season
CUST-36,45,Male,Toys,148.33,2,Holiday Season
CUST-37,45,Male,Home Appliances,327.72,5,Regular
CUST-38,52,Male,Home Appliances,625.13,1,Regular
CUST-39,37,Male,Clothing,95.97,6,Promotion
CUST-40,59,Female,Electronics,403.88,3,Holiday Season
CUST-41,49,Female,Electronics,841.14,3,Regular
CUST-42,44,Other,Clothing,64.73,4,Holiday Season
CUST-43,64,Female,Toys,327.49,11,Regular
CUST-44,60,Other,Clothing,873.23,4,Promotion
CUST-45,47,Male,Toys,248.15,8,Promotion
CUST-46,32,Other,Books,289.31,8,Regular
CUST-47,42,Other,Electronics,234.39,2,Promotion
CUST-48,32,Male,Clothing,75.69,8,Regular
CUST-49,20,Other,Electronics,48.47,8,Holiday Season
CUST-50,45,Other,Toys,255.25,1,Promotion
CUST-51,35,Male,Home Appliances,906.1,2,Holiday Season
CUST-52,29,Female,Toys,566.2,10,Regular
CUST-53,46,Other,Books,30.5,1,Holiday Season
CUST-54,66,Other,Toys,991.56,6,Regular
CUST-55,42,Other,Electronics,421.23,4,Holiday Season
CUST-56,64,Male,Books,555.88,4,Promotion
CUST-57,24,Other,Electronics,626.22,1,Holiday Season
CUST-58,44,Female,Electronics,414.47,6,Regular
CUST-59,65,Male,Clothing,60.32,3,Promotion
CUST-60,69,Other,Books,669.45,3,Holiday Season
CUST-61,65,Other,Electronics,480.91,8,Holiday Season
CUST-62,48,Male,Toys,834.53,7,Holiday Season
CUST-63,43,Male,Electronics,579.77,4,Holiday Season
CUST-64,34,Male,Toys,115.22,5,Holiday Season
CUST-65,25,Female,Home Appliances,554.45,6,Holiday Season
CUST-66,43,Female,Home Appliances,284.18,3,Promotion
CUST-67,22,Female,Electronics,837.26,3,Regular
CUST-68,62,Female,Books,47.45,9,Holiday Season
CUST-69,38,Male,Home Appliances,183.2,11,Promotion
CUST-70,18,Male,Electronics,448.74,1,Regular
CUST-71,23,Male,Home Appliances,318.93,6,Regular
CUST-72,41,Female,Toys,369.33,4,Regular
CUST-73,69,Male,Toys,313.43,5,Regular
CUST-74,40,Female,Electronics,457.63,4,Holiday Season
CUST-75,40,Male,Clothing,85.76,1,Holiday Season
CUST-76,37,Female,Electronics,615.61,7,Promotion
CUST-77,50,Male,Books,409.41,1,Holiday Season
CUST-78,27,Male,Toys,619.56,11,Holiday Season
CUST-79,55,Male,Home Appliances,56.56,2,Holiday Season
CUST-80,65,Other,Clothing,207.64,1,Holiday Season
CUST-81,24,Female,Books,408.77,8,Regular
CUST-82,49,Female,Electronics,122.35,2,Regular
CUST-83,43,Female,Books,959.95,10,Holiday Season
CUST-84,49,Female,Home Appliances,781.94,6,Regular
CUST-85,33,Female,Books,313.36,8,Regular
CUST-86,57,Other,Home Appliances,136.07,10,Regular
CUST-87,47,Male,Electronics,518.62,6,Promotion
CUST-88,37,Other,Toys,739.79,4,Promotion
CUST-89,42,Male,Home Appliances,358.3,7,Regular
CUST-90,28,Female,Toys,706.5,6,Regular
CUST-91,40,Other,Home Appliances,535.07,10,Regular
CUST-92,23,Other,Clothing,975.17,9,Promotion
CUST-93,46,Male,Electronics,908.39,2,Promotion
CUST-94,36,Other,Clothing,650.27,2,Holiday Season
CUST-95,29,Female,Toys,243.5,2,Regular
CUST-96,36,Female,Electronics,414.59,1,Promotion
CUST-97,18,Female,Home Appliances,551.77,2,Regular
CUST-98,60,Male,Clothing,925.5,5,Holiday Season
CUST-99,60,Male,Electronics,360.7,1,Regular
