City,Year,Property Type,Square Footage,Sale Price ($),Property Age,Neighborhood
Tokyo,2018,House,2570,469243.15,92,Suburban
New York,2018,House,4159,432349.89,92,Rural
Tokyo,2019,House,798,459690.54,70,Urban
New York,2015,Villa,3624,903946.84,17,Urban
London,2022,Apartment,3223,628842.04,52,Suburban
New York,2022,Apartment,852,548922.01,93,Rural
Sydney,2021,House,4161,305086.25,83,Suburban
London,2022,Villa,1804,816204.3,20,Rural
Tokyo,2019,Apartment,1942,264382.8,27,Suburban
Mumbai,2018,House,4741,817128.11,31,Urban
Tokyo,2022,House,4866,627236.48,5,Suburban
Sydney,2015,House,2885,92571.8,21,Rural
Mumbai,2016,House,2632,618982.79,11,Rural
New York,2019,Villa,4185,676143.18,27,Suburban
New York,2023,Apartment,811,341137.56,96,Urban
Sydney,2018,House,1839,623476.45,37,Rural
Tokyo,2020,Villa,4357,890537.96,79,Urban
New York,2018,Apartment,4001,948317.0,45,Urban
London,2015,Villa,1004,577763.09,85,Suburban
Mumbai,2015,House,3589,381195.7,38,Suburban
Tokyo,2023,Villa,3258,596017.4,55,Rural
Mumbai,2023,Villa,2656,217344.29,95,Suburban
Tokyo,2021,Apartment,3162,916211.84,83,Suburban
Mumbai,2021,House,2778,88761.44,73,Suburban
Sydney,2015,Villa,3060,932142.84,38,Suburban
London,2019,Apartment,2469,960254.48,1,Rural
Tokyo,2023,House,836,130662.01,82,Rural
Sydney,2017,Villa,4157,704998.04,85,Urban
Sydney,2018,Villa,3893,873285.12,94,Suburban
New York,2019,House,3923,800795.04,3,Suburban
Tokyo,2021,Villa,3246,574406.62,71,Suburban
London,2018,Villa,3985,717011.82,17,Suburban
Mumbai,2020,House,4638,845623.99,52,Rural
Sydney,2022,Apartment,965,156509.65,52,Rural
Sydney,2023,Apartment,4748,763880.97,41,Rural
New York,2015,Apartment,4014,537066.09,38,Urban
London,2018,Villa,3650,106184.34,93,Urban
Mumbai,2019,Apartment,2406,591873.12,44,Suburban
Mumbai,2015,Apartment,2204,414760.95,35,Rural
London,2023,Villa,4194,968803.71,19,Suburban
Tokyo,2017,House,948,82279.39,73,Urban
London,2023,Villa,1343,917320.2,65,Rural
Mumbai,2023,House,2740,267799.69,62,Rural
Mumbai,2023,Apartment,3069,978804.6,72,Suburban
London,2023,Apartment,1921,971384.9,12,Urban
Sydney,2017,Apartment,1641,520188.04,39,Rural
New York,2019,House,3247,224680.35,54,Rural
London,2021,House,1830,564273.37,18,Urban
Sydney,2022,House,2718,779107.5,91,Rural
New York,2023,Villa,1303,668911.73,37,Rural
Sydney,2023,Apartment,4393,954811.86,25,Urban
Mumbai,2022,House,1618,779399.62,43,Urban
Tokyo,2020,Villa,1339,804663.08,75,Urban
New York,2016,House,4955,220313.05,25,Rural
London,2017,Villa,1080,683459.22,42,Urban
Sydney,2017,House,2532,844895.55,83,Rural
Sydney,2018,House,1426,840761.65,60,Urban
London,2015,Apartment,1797,565104.64,52,Suburban
London,2021,Apartment,3440,588876.0,32,Rural
Mumbai,2023,Villa,1778,67022.12,28,Rural
London,2015,Villa,3398,783700.84,96,Rural
Tokyo,2016,House,2333,664727.9,90,Suburban
Sydney,2022,Apartment,3296,141979.33,33,Rural
Sydney,2023,Apartment,1515,489552.69,39,Urban
Tokyo,2015,Apartment,788,731121.33,67,Urban
New York,2019,House,1746,822984.28,40,Suburban
Mumbai,2018,Villa,2720,835389.49,53,Rural
London,2016,Apartment,2639,771004.84,85,Urban
Tokyo,2019,Villa,2961,879028.75,49,Suburban
Mumbai,2020,House,3412,522153.65,79,Urban
Tokyo,2015,Apartment,4196,665453.09,94,Urban
Sydney,2022,Villa,1287,463149.5,44,Suburban
New York,2015,Apartment,1077,768622.79,48,Urban
Sydney,2020,House,4127,146724.02,9,Suburban
New York,2020,Apartment,4605,622764.04,35,Suburban
Sydney,2018,House,3913,130835.11,90,Suburban
London,2019,Apartment,1172,846369.42,22,Urban
New York,2015,Villa,598,90838.93,26,Urban
London,2023,Apartment,4350,505319.9,1,Suburban
Mumbai,2018,Apartment,4155,786228.97,47,Rural
Mumbai,2020,Villa,4391,111681.7,8,Rural
Sydney,2015,House,4398,800755.63,68,Rural
London,2016,Villa,4016,708078.38,93,Urban
New York,2019,Apartment,1145,937025.45,43,Suburban
London,2020,Villa,1395,558790.24,50,Urban
Tokyo,2016,Villa,1545,304518.18,30,Rural
Tokyo,2016,Villa,3413,75606.09,8,Suburban
New York,2021,Apartment,1983,587906.02,41,Suburban
Sydney,2019,Villa,3129,528443.2,39,Suburban
London,2022,Apartment,4782,862876.35,66,Urban
Sydney,2020,House,3298,819346.45,80,Urban
Sydney,2021,Villa,673,71979.79,64,Rural
London,2023,House,4428,551785.46,42,Urban
Mumbai,2021,Villa,3134,771888.85,32,Suburban
Sydney,2015,Villa,1831,413070.67,58,Urban
Mumbai,2016,House,4672,198986.23,99,Suburban
Sydney,2020,House,2455,623098.89,69,Rural
London,2021,Villa,3379,838276.68,58,Rural
London,2019,Apartment,3349,110629.21,39,Urban
Mumbai,2022,House,3720,640158.39,11,Rural
Sydney,2017,House,3394,934360.37,69,Urban
New York,2021,Villa,3250,821649.26,79,Urban
London,2020,Villa,3082,61716.11,20,Rural
Tokyo,2019,Villa,1175,233058.09,13,Urban
Tokyo,2017,Villa,2791,73927.68,25,Rural
Sydney,2023,House,2209,315631.95,14,Rural
New York,2015,Apartment,3034,131013.17,22,Suburban
New York,2017,Apartment,1006,141311.89,83,Urban
London,2017,House,1430,643765.03,68,Rural
Tokyo,2023,Apartment,4818,919265.76,43,Rural
Mumbai,2020,House,3960,513268.33,19,Rural
London,2022,Apartment,3200,950629.88,72,Rural
Sydney,2023,Villa,2347,537301.48,70,Suburban
Sydney,2023,Apartment,1816,584344.81,73,Urban
New York,2016,Apartment,2267,527384.43,70,Suburban
Tokyo,2017,Villa,2880,411250.37,62,Rural
London,2023,Villa,1523,410725.29,99,Suburban
Tokyo,2016,Apartment,2205,192518.14,68,Suburban
Mumbai,2021,Villa,2586,554434.07,11,Suburban
Sydney,2017,Apartment,4877,575369.25,65,Rural
Mumbai,2022,Villa,3167,427758.2,33,Urban
London,2019,Apartment,3964,942733.71,98,Urban
London,2017,House,3089,63819.0,60,Suburban
Sydney,2023,Apartment,3246,895884.54,43,Urban
Sydney,2019,House,2101,836747.7,87,Rural
Mumbai,2018,Villa,4407,430518.11,24,Suburban
Sydney,2020,Apartment,4136,994624.18,49,Suburban
Sydney,2021,House,558,814019.48,89,Suburban
New York,2020,Apartment,1610,307208.36,49,Rural
Tokyo,2020,Apartment,2068,664694.02,9,Urban
Tokyo,2020,House,1757,300241.28,74,Suburban
London,2018,Apartment,2091,179179.81,93,Suburban
Sydney,2021,House,2179,635331.0,81,Rural
Tokyo,2015,Villa,2103,393727.26,70,Urban
Sydney,2015,Apartment,2779,617976.61,53,Urban
Tokyo,2016,Villa,1344,235893.71,86,Rural
London,2023,Apartment,526,189119.6,20,Urban
New York,2021,House,4803,691202.01,93,Rural
New York,2022,Apartment,3217,954816.3,97,Rural
Sydney,2016,Apartment,2170,873795.53,61,Rural
Tokyo,2020,House,3392,914222.62,66,Rural
New York,2019,Apartment,3055,115695.66,58,Rural
Tokyo,2021,Villa,1409,285980.52,34,Rural
New York,2015,Villa,4388,724647.78,61,Suburban
Sydney,2018,House,832,854256.56,90,Urban
London,2023,Apartment,3249,763411.87,45,Rural
Sydney,2017,Apartment,4391,417706.94,14,Urban
London,2021,Apartment,2272,60408.23,30,Urban
New York,2021,Apartment,3211,788393.32,23,Urban
London,2018,House,855,133750.27,5,Urban
Mumbai,2022,Villa,3400,498204.66,20,Urban
Tokyo,2023,House,4878,496663.52,28,Urban
Tokyo,2020,Apartment,997,413478.8,71,Suburban
Mumbai,2016,Villa,783,846925.87,5,Urban
Tokyo,2021,Villa,3489,660813.71,82,Urban
Sydney,2023,Villa,1744,820300.66,12,Urban
London,2021,Apartment,4366,680414.68,92,Suburban
London,2021,House,3180,952294.3,7,Suburban
Mumbai,2015,Apartment,631,251367.61,99,Rural
London,2019,Villa,1827,982721.21,92,Urban
New York,2020,Villa,3583,705450.05,82,Rural
Tokyo,2020,Villa,4439,548722.29,76,Rural
Mumbai,2019,House,1934,103207.32,89,Urban
New York,2019,House,3055,624521.14,40,Suburban
Mumbai,2020,Apartment,2761,562474.52,72,Suburban
Mumbai,2020,Apartment,987,531640.92,18,Suburban
